Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Reef_ID,Realm_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_Comments
7,10313996,Reef_Check,-19.1219,146.8808,Pacific,146.52.850E.19.07.313S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,126.24,Sometimes,0.1384,43.39,8,10,2006,4,Hard Coral,29.38,Population,0,300.52,298.19,299.07,292.2,305.77,2.88,7,-0.32,0.98,0,-3.33,3.34,7,5.32,29,7,0,3.32,19.92,2.78,-4.29,2.88,-10.28,3.27,-3.41,2,1.46,6,1,0,1.49,10.49,0.62,08-10-2006,nd,nd,nd
7,10313996,Reef_Check,-19.1219,146.8808,Pacific,146.52.850E.19.07.313S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,126.24,Sometimes,0.1384,43.39,8,10,2006,4,Nutrient Indicator Algae,0.62,Population,0,300.52,298.19,299.07,292.2,305.77,2.88,7,-0.32,0.98,0,-3.33,3.34,7,5.32,29,7,0,3.32,19.92,2.78,-4.29,2.88,-10.28,3.27,-3.41,2,1.46,6,1,0,1.49,10.49,0.62,08-10-2006,nd,nd,nd
8,10313998,Reef_Check,-18.9561,146.9562,Pacific,146.57.22.5E.18.57.21.8S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,nd,nd,19577.87,Exposed,0.0599,43.97,15,5,2005,5,Hard Coral,5,Population,0,299.07,298.49,299.05,293.35,304.85,2.58,2,-0.59,2.58,0,-3.82,5.83,21,3.03,27,20,18.34,13.92,48.5,12.61,-0.59,2.58,-5.73,5.75,-0.03,21,3.1,27,20,17.89,13.67,47.72,12.35,15-05-2005,nd,nd,nd
8,10313998,Reef_Check,-18.9561,146.9562,Pacific,146.57.22.5E.18.57.21.8S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,nd,nd,19577.87,Exposed,0.0599,43.97,15,5,2005,5,Nutrient Indicator Algae,31.25,Population,0,299.07,298.49,299.05,293.35,304.85,2.58,2,-0.59,2.58,0,-3.82,5.83,21,3.03,27,20,18.34,13.92,48.5,12.61,-0.59,2.58,-5.73,5.75,-0.03,21,3.1,27,20,17.89,13.67,47.72,12.35,15-05-2005,nd,nd,nd
8,10314001,Reef_Check,-18.9561,146.9562,Pacific,146.57.375E.18.57.364S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,nd,nd,19577.87,Exposed,0.0599,43.97,31,1,2004,4,Hard Coral,0,Population,0,299.02,303.64,299.05,293.35,304.85,2.58,5,4.61,2.58,0,-3.82,5.83,21,3.03,27,20,25.67,13.92,48.5,12.61,4.54,2.58,-5.73,5.75,-0.03,21,3.1,27,20,25.4,13.67,47.72,12.35,31-01-2004,nd,nd,nd
8,10314001,Reef_Check,-18.9561,146.9562,Pacific,146.57.375E.18.57.364S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,nd,nd,19577.87,Exposed,0.0599,43.97,31,1,2004,4,Nutrient Indicator Algae,12.5,Population,0,299.02,303.64,299.05,293.35,304.85,2.58,5,4.61,2.58,0,-3.82,5.83,21,3.03,27,20,25.67,13.92,48.5,12.61,4.54,2.58,-5.73,5.75,-0.03,21,3.1,27,20,25.4,13.67,47.72,12.35,31-01-2004,nd,nd,nd
8,10314002,Reef_Check,-18.9561,146.9562,Pacific,146.57.375E.18.57.364S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,nd,nd,19577.87,Exposed,0.0599,43.97,15,5,2005,5,Hard Coral,9.38,Population,0,299.07,298.49,299.05,293.35,304.85,2.58,2,-0.59,2.58,0,-3.82,5.83,21,3.03,27,20,18.34,13.92,48.5,12.61,-0.59,2.58,-5.73,5.75,-0.03,21,3.1,27,20,17.89,13.67,47.72,12.35,15-05-2005,nd,nd,nd
8,10314002,Reef_Check,-18.9561,146.9562,Pacific,146.57.375E.18.57.364S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,nd,nd,19577.87,Exposed,0.0599,43.97,15,5,2005,5,Nutrient Indicator Algae,37.5,Population,0,299.07,298.49,299.05,293.35,304.85,2.58,2,-0.59,2.58,0,-3.82,5.83,21,3.03,27,20,18.34,13.92,48.5,12.61,-0.59,2.58,-5.73,5.75,-0.03,21,3.1,27,20,17.89,13.67,47.72,12.35,15-05-2005,nd,nd,nd
9,10314035,Reef_Check,-18.7979,147.5206,Pacific,147.31.239E.18.47.875S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,57425.12,Sheltered,0.0484,48.94,2,4,2008,9,Hard Coral,69.38,Population,0,298.87,299.51,299.19,294.01,304.44,2.06,5,-0.93,0.79,0,-2.94,2.76,0,5.54,29,5,0,2.89,16.4,1.77,-2.24,2.06,-7.73,2.69,-2.55,0,1.43,6,1,0,1.13,9.46,0.35,02-04-2008,nd,nd,nd
9,10314035,Reef_Check,-18.7979,147.5206,Pacific,147.31.239E.18.47.875S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,nd,57425.12,Sheltered,0.0484,48.94,2,4,2008,9,Nutrient Indicator Algae,1.88,Population,0,298.87,299.51,299.19,294.01,304.44,2.06,5,-0.93,0.79,0,-2.94,2.76,0,5.54,29,5,0,2.89,16.4,1.77,-2.24,2.06,-7.73,2.69,-2.55,0,1.43,6,1,0,1.13,9.46,0.35,02-04-2008,nd,nd,nd
